freq,indic_sb,nace_r2,currency,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 
A,V12110,KIS_HTC,MIO_EUR,DE	190152 	184320 	185905 	198562 	202161 	210725 	221094 
A,V12110,KIS_HTC,MIO_EUR,DK	20509 	20296 	20205 	20306 	20784 	20590 	21339 
A,V12110,KIS_HTC,MIO_EUR,EE	1210 	: @C	1223 	1331 	1418 	1544 	1583 
A,V12110,KIS_HTC,MIO_EUR,EL	13237 	12665 	10394 	8554 	8363 	8029 	7422 
A,V12110,KIS_HTC,MIO_EUR,ES	77178 	74376 	73235 	73244 	70990 	68731 	68707 
A,V12110,KIS_HTC,MIO_EUR,EU27_2007	: @C	: @C	: @C	: @C	: 	: 	: 
A,V12110,KIS_HTC,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V12110,KIS_HTC,MIO_EUR,EU28	: 	: 	: 	: @C	: @C	: @C	: 
A,V12110,KIS_HTC,MIO_EUR,FI	: @C	: @C	13172 	: @C	: @C	: b	15592 
A,V12110,KIS_HTC,MIO_EUR,FR	: @C	149990 	157163 	162084 	162141 	154949 	156964 
A,V12110,KIS_HTC,MIO_EUR,HR	: @C	: @C	: @C	3323 	3198 	3207 	3069 
A,V12110,KIS_HTC,MIO_EUR,HU	10787 	10301 	9296 	9574 	9647 	9746 	10055 
A,V12110,KIS_HTC,MIO_EUR,IE	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,V12110,KIS_HTC,MIO_EUR,IT	106729 	102298 	104493 	104878 	103780 	99532 	96813 
A,V12110,KIS_HTC,MIO_EUR,LT	1561 	1369 	1326 	1398 	1438 	1490 	1606 
A,V12110,KIS_HTC,MIO_EUR,LU	: @C	: @C	: @C	: @C	: b	: @C	: @C
A,V12110,KIS_HTC,MIO_EUR,LV	1362 	1150 	1165 	1234 	1436 	1518 	1520 
A,V12110,KIS_HTC,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,KIS_HTC,MIO_EUR,NL	49757 	48739 	49953 	51133 	50796 	50854 	55054 
A,V12110,KIS_HTC,MIO_EUR,NO	17835 	16817 	19375 	21742 	23392 	23579 	23175 
A,V12110,KIS_HTC,MIO_EUR,PL	: @C	19505 	22094 	23126 	24019 	25458 	25283 
A,V12110,KIS_HTC,MIO_EUR,PT	12624 	12451 	12404 	11455 	10982 	10782 b	10382 
A,V12110,KIS_HTC,MIO_EUR,RO	9231 p	7815 p	7786 	7782 	7812 	8268 	8896 
A,V12110,KIS_HTC,MIO_EUR,SE	: @C	29755 	35135 	38808 	45649 	: @C	49863 
A,V12110,KIS_HTC,MIO_EUR,SI	2933 	2786 	2850 	2853 	2854 	2980 	2982 
A,V12110,KIS_HTC,MIO_EUR,SK	4246 	3748 	4115 b	4879 	5055 	5073 	5244 
A,V12110,KIS_HTC,MIO_EUR,TR	: 	16146 	: 	: 	: 	: 	: 
A,V12110,KIS_HTC,MIO_EUR,UK	219133 	188207 	209558 	214877 	231084 	227412 	248404 
A,V12110,KIS_MKT_OTH,MIO_EUR,AT	31272 	29848 	29982 	32704 	33957 	35298 	36158 
A,V12110,KIS_MKT_OTH,MIO_EUR,BE	52568 	: @C	: @C	: @C	62085 	61672 	67697 
A,V12110,KIS_MKT_OTH,MIO_EUR,BG	3799 	3832 	3301 	3281 	3458 	3344 	3533 
A,V12110,KIS_MKT_OTH,MIO_EUR,CH	: 	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,KIS_MKT_OTH,MIO_EUR,CY	: @C	: @C	: @C	1967 	1843 	1782 	1844 
A,V12110,KIS_MKT_OTH,MIO_EUR,CZ	21598 p	19134 	: 	20198 	19253 	18760 	18558 
A,V12110,KIS_MKT_OTH,MIO_EUR,DE	252837 	253408 	268941 	296574 	302797 	317040 	353898 
A,V12110,KIS_MKT_OTH,MIO_EUR,DK	49907 	: @C	45475 	47942 	50270 	51261 	53317 
A,V12110,KIS_MKT_OTH,MIO_EUR,EE	: @C	: @C	: @C	: @C	2057 	2213 	2330 
A,V12110,KIS_MKT_OTH,MIO_EUR,EL	21650 	19598 	16817 	14064 	12950 	11830 	11998 
A,V12110,KIS_MKT_OTH,MIO_EUR,ES	105074 	94785 	94991 	93384 	87614 	84650 	94658 
A,V12110,KIS_MKT_OTH,MIO_EUR,EU27_2007	1550567 e	1406148 e	1512495 e	1569434 e	: 	: 	: 
A,V12110,KIS_MKT_OTH,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V12110,KIS_MKT_OTH,MIO_EUR,EU28	: 	: 	: 	1574245 e	1627189 e	1651588 e	1709249 p
A,V12110,KIS_MKT_OTH,MIO_EUR,FI	: @C	: @C	: @C	: @C	: @C	: b	: @C
A,V12110,KIS_MKT_OTH,MIO_EUR,FR	: @C	: @C	266985 	279996 	285693 	: @C	247442 
A,V12110,KIS_MKT_OTH,MIO_EUR,HR	: @C	: @C	: @C	4137 	: @C	: @C	: @C
A,V12110,KIS_MKT_OTH,MIO_EUR,HU	13395 	12131 	12352 	12348 	11247 	11601 	12280 
A,V12110,KIS_MKT_OTH,MIO_EUR,IE	21208 	17999 	18158 	19550 	22487 	: 	: 
A,V12110,KIS_MKT_OTH,MIO_EUR,IT	147244 	124466 	142603 	136228 	133836 	132940 	136063 
A,V12110,KIS_MKT_OTH,MIO_EUR,LT	2229 	1617 	1757 	1986 	2138 	2243 	2498 
A,V12110,KIS_MKT_OTH,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,KIS_MKT_OTH,MIO_EUR,LV	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,KIS_MKT_OTH,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,KIS_MKT_OTH,MIO_EUR,NL	111168 	103319 	106223 	108931 	110414 	115127 	116252 
A,V12110,KIS_MKT_OTH,MIO_EUR,NO	: 	38621 	44454 	48125 	54832 	56017 	55163 
A,V12110,KIS_MKT_OTH,MIO_EUR,PL	: @C	: @C	: @C	: @C	28514 	30326 	32449 
A,V12110,KIS_MKT_OTH,MIO_EUR,PT	17275 	16625 	18272 	16866 	15976 	15549 b	16218 
