freq,nace_r2,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,C_LTC,NR,EU27_2007	: @C	959063 de	995934 de	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,C_LTC,NR,EU27_2020	: 	: 	: 	949863 du	941598 de	931016 de	943626 de	: @C	: @C	: @C	958558 du	965126 e	: 
A,C_LTC,NR,EU28	: 	: 	: 	996897 du	982009 de	971364 de	984265 de	: @C	976515 du	971135 du	: @C	: 	: 
A,C_LTC,NR,FI	9440 	9067 	8718 	8617 	8399 	8260 b	7991 	7893 	7579 	7530 b	7338 	7312 	7081 p
A,C_LTC,NR,FR	117351 	113329 	118541 	: @C	122275 	128517 	130061 b	121411 b	121075 	115104 b	: @C	126057 	132166 p
A,C_LTC,NR,HR	11089 	11696 	10674 	9952 	9489 	9298 	9050 	8916 	8793 	8868 	8914 	10420 b	10275 p
A,C_LTC,NR,HU	24586 	22861 	22767 	22431 	21595 	20597 	20611 	21688 	22230 	22644 	23096 b	23978 	24022 p
A,C_LTC,NR,IE	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,C_LTC,NR,IS	: 	: 	: 	: 	: 	: 	: 	923 p	987 p	1000 p	972 	: 	: 
A,C_LTC,NR,IT	: @C	217620 	210865 	210637 	207343 	203168 	197508 	193769 	193180 	191529 b	187682 	180646 	: 
A,C_LTC,NR,LT	11119 	8733 	8457 	9247 	10242 	10981 	12341 	13448 	13854 	14003 	14497 b	14198 	14456 p
A,C_LTC,NR,LU	354 	350 	349 	342 	329 	338 	329 	327 	308 	308 	302 	293 	280 p
A,C_LTC,NR,LV	4586 	4664 	4878 	4799 	5467 	5769 	5901 	6400 	6787 	6696 	6743 	6684 	6746 p
A,C_LTC,NR,MK	: 	: 	: 	4428 	4462 	4397 	4383 	4586 	4669 	: @C	4858 	4890 	4746 p
A,C_LTC,NR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,C_LTC,NR,NL	17482 	18273 	20668 	20742 	21974 	26023 	26647 	27878 	28960 	29792 	31356 	32637 	34030 p
A,C_LTC,NR,NO	7287 	7150 	7021 	7443 	7505 	7454 	7377 	7575 	7677 	7657 	7318 b	7707 	7583 p
A,C_LTC,NR,PL	88098 	83043 	82161 	82469 	80016 	77078 	81321 	83255 	86001 	87441 	102413 b	103627 	103702 p
A,C_LTC,NR,PT	47798 	45115 	42008 	41072 	39418 	39161 	39218 	39596 	39685 	40006 	40286 	40509 	39687 p
A,C_LTC,NR,RO	34249 	31540 p	28231 	25981 	26523 	26970 	27738 	28093 	28122 	29143 	30979 b	31939 	33496 p
A,C_LTC,NR,RS	: 	: 	: 	: 	: 	: 	: 	: 	8435 p	7735 p	7803 	7731 	7652 p
A,C_LTC,NR,SE	21071 	20974 	21375 	21619 	21411 	21044 	: @C	21349 	21424 	21385 	19587 b	19569 	19554 p
A,C_LTC,NR,SI	6330 	6283 	6318 	6297 	6359 	7183 	7477 	7574 	7736 	7890 	8042 	8113 	8202 p
A,C_LTC,NR,SK	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,C_LTC,NR,TR	: 	188411 	: 	: 	: 	197080 	189486 	: 	: 	: 	: 	: 	: 
